UniProt_ID,PDB_ID,chain_id,chain_length,score,coverageChain,coverageUniProt,identity,pass_filter
P21462,7VFX,R,299,1527,1,0.854285714,0.986622074,TRUE
P21462,7VFX,A,218,30,1,0.622857143,0.157894737,FALSE
P21462,7VFX,B,336,29,1,0.96,0.313953488,FALSE
P21462,7VFX,G,54,21,1,0.154285714,0.132075472,FALSE
P21462,7VFX,S,232,34.5,1,0.662857143,0.255555556,FALSE
P21462,7VFX,C,4,13,1,0.011428571,0.5,FALSE
P21462,7WVU,R,298,1541,1,0.851428571,1,TRUE
P21462,7WVU,A,218,31,1,0.622857143,0.101382488,FALSE
P21462,7WVU,B,336,29,1,0.96,0.313953488,FALSE
P21462,7WVU,C,54,21,1,0.154285714,0.132075472,FALSE
P21462,7WVU,L,3,12,1,0.008571429,0.666666667,FALSE
O95136,7T6B,A,225,34,1,0.637393768,0.107623318,FALSE
O95136,7T6B,C,339,45,1,0.960339943,0.195454545,FALSE
O95136,7T6B,D,59,25,1,0.16713881,0.118644068,FALSE
O95136,7T6B,E,232,32,1,0.657223796,0.288288288,FALSE
O95136,7T6B,R,265,1310.5,1,0.750708215,0.996226415,TRUE
Q16581,8HK2,A,291,1422,1,0.60373444,0.975945017,FALSE
Q16581,8HK2,B,225,36,1,0.466804979,0.130208333,FALSE
Q16581,8HK2,C,339,36.5,1,0.703319502,0.105072464,FALSE
Q16581,8HK2,D,73,24,1,0.151452282,0.125,FALSE
Q16581,8HK2,G,59,28,1,0.122406639,0.185185185,FALSE
Q16581,8HK2,H,232,35.5,1,0.481327801,0.127272727,FALSE
Q16581,8HK3,A,223,36,1,0.462655602,0.121052632,FALSE
Q16581,8HK3,B,339,36.5,1,0.703319502,0.105072464,FALSE
Q16581,8HK3,C,284,1424,1,0.589211618,1,FALSE
Q16581,8HK3,G,56,28,1,0.116182573,0.196078431,FALSE
Q16581,8HK3,H,233,35.5,1,0.48340249,0.131221719,FALSE
Q16581,8I95,A,208,46,1,0.43153527,0.102941176,FALSE
Q16581,8I95,B,338,36.5,1,0.701244813,0.105072464,FALSE
Q16581,8I95,G,56,25,1,0.116182573,0.176470588,FALSE
Q16581,8I95,H,231,34.5,1,0.479253112,0.142857143,FALSE
Q16581,8I95,C,280,1403.5,1,0.580912863,1,FALSE
Q16581,8I95,D,9,19,1,0.018672199,0.333333333,FALSE
Q16581,8I97,C,276,1374.5,1,0.572614108,1,FALSE
Q16581,8I97,A,210,39.5,1,0.435684647,0.102941176,FALSE
Q16581,8I97,B,338,36.5,1,0.701244813,0.105072464,FALSE
Q16581,8I97,G,56,25,1,0.116182573,0.176470588,FALSE
Q16581,8I97,H,233,32.5,1,0.48340249,0.126696833,FALSE
Q16581,8I9A,A,225,34,1,0.466804979,0.131818182,FALSE
Q16581,8I9A,B,338,36.5,1,0.701244813,0.105072464,FALSE
Q16581,8I9A,G,56,25,1,0.116182573,0.176470588,FALSE
Q16581,8I9A,H,231,34.5,1,0.479253112,0.142857143,FALSE
Q16581,8I9A,C,272,1350,1,0.564315353,1,FALSE
Q16581,8I9A,D,9,19,1,0.018672199,0.333333333,FALSE
Q16581,8I9L,B,337,36.5,1,0.699170124,0.105072464,FALSE
Q16581,8I9L,A,210,44.5,1,0.435684647,0.102941176,FALSE
Q16581,8I9L,G,55,25,1,0.114107884,0.18,FALSE
Q16581,8I9L,H,234,32.5,1,0.485477178,0.130630631,FALSE
Q16581,8I9L,C,277,1385.5,1,0.574688797,1,FALSE
Q16581,8I9L,D,70,23,1,0.145228216,0.144927536,FALSE
Q16581,8I9S,C,276,1374.5,1,0.572614108,1,FALSE
Q16581,8I9S,A,210,39.5,1,0.435684647,0.102941176,FALSE
Q16581,8I9S,B,338,36.5,1,0.701244813,0.105072464,FALSE
Q16581,8I9S,G,56,25,1,0.116182573,0.176470588,FALSE
Q16581,8I9S,H,233,32.5,1,0.48340249,0.126696833,FALSE
Q16581,8IA8,L,8,16,1,0.01659751,0.375,FALSE
Q16581,8IA8,A,286,1435,1,0.593360996,1,FALSE
Q16581,8IA8,C,216,30.5,1,0.44813278,0.130434783,FALSE
Q16581,8IA8,B,337,36.5,1,0.699170124,0.105072464,FALSE
Q16581,8IA8,G,56,28,1,0.116182573,0.196078431,FALSE
Q16581,8IA8,S,233,33,1,0.48340249,0.144278607,FALSE
Q16581,8J6D,A,210,44.5,1,0.435684647,0.102941176,FALSE
Q16581,8J6D,B,337,36.5,1,0.699170124,0.105072464,FALSE
Q16581,8J6D,C,278,1391,1,0.576763485,1,FALSE
Q16581,8J6D,D,10,16,1,0.020746888,0.3,FALSE
Q16581,8J6D,G,55,25,1,0.114107884,0.18,FALSE
Q16581,8J6D,H,233,32.5,1,0.48340249,0.126696833,FALSE
Q16581,8JA3,B,316,31,1,0.65560166,0.105882353,FALSE
Q16581,8JA3,U,10,54,1,0.020746888,1,FALSE
Q16581,8JA3,I,107,33,1,0.221991701,0.112149533,FALSE
Q16581,8JA3,M,102,28,1,0.211618257,0.141414141,FALSE
Q16581,8JA3,A,309,31,1,0.641078838,0.105882353,FALSE
Q16581,8JA3,V,10,54,1,0.020746888,1,FALSE
Q16581,8JA3,H,99,33,1,0.205394191,0.101010101,FALSE
Q16581,8JA3,L,100,33.5,1,0.20746888,0.13,FALSE
O43603,7WQ4,R,284,1461.5,1,0.733850129,0.992957746,TRUE
O43603,7WQ4,L,13,21,1,0.033591731,0.230769231,FALSE
O43603,7WQ4,A,234,30.5,1,0.604651163,0.116751269,FALSE
O43603,7WQ4,B,338,41,1,0.873385013,0.097633136,FALSE
O43603,7WQ4,N,128,32,1,0.330749354,0.19266055,FALSE
O43603,7WQ4,G,53,30.5,1,0.136950904,0.163265306,FALSE
O43603,7XBD,A,277,1439,1,0.715762274,1,TRUE
O43603,7XBD,B,229,34,1,0.591731266,0.192307692,FALSE
O43603,7XBD,C,339,41,1,0.875968992,0.097345133,FALSE
O43603,7XBD,D,59,30.5,1,0.15245478,0.145454545,FALSE
O43603,7XBD,E,233,45,1,0.602067183,0.197044335,FALSE
O43603,7XBD,F,16,21,1,0.041343669,0.1875,FALSE
O43603,7XJK,A,16,21,1,0.041343669,0.1875,FALSE
O43603,7XJK,B,226,27,1,0.583979328,0.071428571,FALSE
O43603,7XJK,C,338,41,1,0.873385013,0.097633136,FALSE
O43603,7XJK,D,51,30.5,1,0.131782946,0.170212766,FALSE
O43603,7XJK,E,230,51.5,1,0.594315245,0.205882353,FALSE
O43603,7XJK,F,278,1436,1,0.718346253,0.996402878,TRUE
O43603,7XJL,A,14,25,1,0.036175711,0.214285714,FALSE
O43603,7XJL,B,226,27,1,0.583979328,0.071428571,FALSE
O43603,7XJL,C,338,41,1,0.873385013,0.097633136,FALSE
O43603,7XJL,D,51,30.5,1,0.131782946,0.170212766,FALSE
O43603,7XJL,E,230,51.5,1,0.594315245,0.205882353,FALSE
O43603,7XJL,F,278,1436,1,0.718346253,0.996402878,TRUE
Q99527,8XOF,A,228,28.5,1,0.608,0.085,FALSE
Q99527,8XOF,B,338,31.5,1,0.901333333,0.076388889,FALSE
Q99527,8XOF,G,57,22,1,0.152,0.122807018,FALSE
Q99527,8XOF,N,127,32,1,0.338666667,0.138297872,FALSE
Q99527,8XOF,R,266,1335,1,0.709333333,0.996240602,TRUE
Q99527,8XOG,A,228,28.5,1,0.608,0.085,FALSE
Q99527,8XOG,B,338,31.5,1,0.901333333,0.076388889,FALSE
Q99527,8XOG,E,228,31.5,1,0.608,0.12972973,FALSE
Q99527,8XOG,G,57,22,1,0.152,0.122807018,FALSE
Q99527,8XOG,R,266,1323,1,0.709333333,0.992481203,TRUE
Q99527,8XOH,A,228,28.5,1,0.608,0.085,FALSE
Q99527,8XOH,B,338,31.5,1,0.901333333,0.076388889,FALSE
Q99527,8XOH,E,228,31.5,1,0.608,0.12972973,FALSE
Q99527,8XOH,G,57,22,1,0.152,0.122807018,FALSE
Q99527,8XOH,R,265,1328,1,0.706666667,1,TRUE
Q99527,8XOI,A,228,28.5,1,0.608,0.085,FALSE
Q99527,8XOI,B,338,31.5,1,0.901333333,0.076388889,FALSE
Q99527,8XOI,E,228,31.5,1,0.608,0.12972973,FALSE
Q99527,8XOI,G,57,22,1,0.152,0.122807018,FALSE
Q99527,8XOI,R,264,1323,1,0.704,1,TRUE
Q99527,8XOJ,A,228,28.5,1,0.608,0.085,FALSE
Q99527,8XOJ,B,338,31.5,1,0.901333333,0.076388889,FALSE
Q99527,8XOJ,E,228,31.5,1,0.608,0.12972973,FALSE
Q99527,8XOJ,G,57,22,1,0.152,0.122807018,FALSE
Q99527,8XOJ,R,266,1332,1,0.709333333,1,TRUE
P30550,7W3Z,A,301,1546,1,0.783854167,0.996677741,TRUE
P30550,7W3Z,L,13,18,1,0.033854167,0.153846154,FALSE
P30550,7W3Z,B,352,35.5,1,0.916666667,0.068181818,FALSE
P30550,7W3Z,C,338,40,1,0.880208333,0.068181818,FALSE
P30550,7W3Z,D,56,29,1,0.145833333,0.25,FALSE
P30550,7W3Z,H,236,42.5,1,0.614583333,0.233766234,FALSE
P30550,7W40,A,301,1546,1,0.783854167,0.996677741,TRUE
P30550,7W40,B,283,35.5,1,0.736979167,0.074204947,FALSE
P30550,7W40,C,315,40,1,0.8203125,0.074688797,FALSE
P30550,7W40,D,47,25,1,0.122395833,0.255319149,FALSE
P30550,7W40,H,230,37.5,1,0.598958333,0.117318436,FALSE
P30550,7W40,E,9,19,1,0.0234375,0.333333333,FALSE
P30550,7W41,A,485,1367,1,1.263020833,0.966777409,TRUE
P30550,8H0Q,R,299,1512.5,1,0.778645833,0.986622074,TRUE
P30550,8H0Q,L,9,18,1,0.0234375,0.222222222,FALSE
P30550,8H0Q,A,206,34,1,0.536458333,0.191860465,FALSE
P30550,8H0Q,B,338,40,1,0.880208333,0.068181818,FALSE
P30550,8H0Q,E,231,37.5,1,0.6015625,0.117977528,FALSE
P30550,8H0Q,G,54,29,1,0.140625,0.259259259,FALSE
Q8TDS7,7Y12,A,218,28,1,0.679127726,0.078947368,FALSE
Q8TDS7,7Y12,B,338,42.5,1,1.052959502,0.184357542,FALSE
Q8TDS7,7Y12,C,57,24,1,0.177570093,0.157894737,FALSE
Q8TDS7,7Y12,R,268,1376,1,0.834890966,0.985074627,TRUE
Q8TDS7,7Y12,S,232,47,1,0.722741433,0.127753304,FALSE
Q8TDS7,7Y13,R,273,1376,1,0.85046729,0.967032967,TRUE
Q8TDS7,7Y14,R,269,1376,1,0.838006231,0.981412639,TRUE
Q8TDS7,7Y15,A,218,28,1,0.679127726,0.078947368,FALSE
Q8TDS7,7Y15,B,338,42.5,1,1.052959502,0.184357542,FALSE
Q8TDS7,7Y15,C,57,24,1,0.177570093,0.157894737,FALSE
Q8TDS7,7Y15,R,267,1376,1,0.831775701,0.988764045,TRUE
Q8TDS7,7Y15,S,232,47,1,0.722741433,0.127753304,FALSE
P51684,6WWZ,B,338,37.5,1,0.903743316,0.151351351,FALSE
P51684,6WWZ,C,66,39,1,0.176470588,0.196969697,FALSE
P51684,6WWZ,Y,56,23.5,1,0.14973262,0.178571429,FALSE
P51684,6WWZ,A,210,35,1,0.561497326,0.218181818,FALSE
P51684,6WWZ,S,231,37,1,0.617647059,0.11627907,FALSE
P51684,6WWZ,R,310,1600,1,0.828877005,1,TRUE
Q96LB2,8DWC,A,11,17,1,0.034161491,0.181818182,FALSE
Q96LB2,8DWC,C,338,31.5,1,1.049689441,0.097222222,FALSE
Q96LB2,8DWC,D,51,25,1,0.158385093,0.227272727,FALSE
Q96LB2,8DWC,R,250,1291.5,1,0.776397516,1,TRUE
Q96LB2,8DWC,E,231,52.5,1,0.717391304,0.255681818,FALSE
Q96LB2,8DWC,B,221,36.5,1,0.686335404,0.110576923,FALSE
Q96LB2,8DWG,A,13,17,1,0.040372671,0.153846154,FALSE
Q96LB2,8DWG,B,221,36.5,1,0.686335404,0.110576923,FALSE
Q96LB2,8DWG,C,338,31.5,1,1.049689441,0.097222222,FALSE
Q96LB2,8DWG,D,51,25,1,0.158385093,0.227272727,FALSE
Q96LB2,8DWG,R,248,1275.5,1,0.770186335,0.995967742,TRUE
Q96LB2,8DWG,E,231,52.5,1,0.717391304,0.255681818,FALSE
Q96LB2,8DWH,B,221,36.5,1,0.686335404,0.110576923,FALSE
Q96LB2,8DWH,C,338,31.5,1,1.049689441,0.097222222,FALSE
Q96LB2,8DWH,D,51,25,1,0.158385093,0.227272727,FALSE
Q96LB2,8DWH,R,249,1275.5,1,0.773291925,0.995983936,TRUE
Q96LB2,8HJ5,A,233,36.5,1,0.723602484,0.109090909,FALSE
Q96LB2,8HJ5,B,337,31.5,1,1.046583851,0.097222222,FALSE
Q96LB2,8HJ5,D,51,25,1,0.158385093,0.227272727,FALSE
Q96LB2,8HJ5,C,232,47.5,1,0.720496894,0.151219512,FALSE
Q96LB2,8HJ5,F,253,1300,1,0.785714286,0.996047431,TRUE
Q96LB2,8HJ5,E,127,29,1,0.394409938,0.078740157,FALSE
Q96LB2,8JGB,L,5,12,1,0.01552795,0.4,FALSE
Q96LB2,8JGB,G,57,25.5,1,0.177018634,0.142857143,FALSE
Q96LB2,8JGB,A,216,32.5,1,0.670807453,0.102325581,FALSE
Q96LB2,8JGB,B,336,31.5,1,1.043478261,0.097222222,FALSE
Q96LB2,8JGB,R,217,1068,1,0.673913043,1,FALSE
Q96LB2,8JGB,S,231,52.5,1,0.717391304,0.255681818,FALSE
Q96LB2,8JGF,A,232,36.5,1,0.720496894,0.109589041,FALSE
Q96LB2,8JGF,B,336,31.5,1,1.043478261,0.097222222,FALSE
Q96LB2,8JGF,E,232,47.5,1,0.720496894,0.151219512,FALSE
Q96LB2,8JGF,G,53,25,1,0.164596273,0.217391304,FALSE
Q96LB2,8JGF,L,12,17,1,0.037267081,0.166666667,FALSE
Q96LB2,8JGF,R,236,1190,1,0.732919255,1,TRUE
Q96LB2,8JGG,G,57,25.5,1,0.177018634,0.142857143,FALSE
Q96LB2,8JGG,L,11,17,1,0.034161491,0.181818182,FALSE
Q96LB2,8JGG,S,233,48,1,0.723602484,0.248587571,FALSE
Q96LB2,8JGG,A,216,32.5,1,0.670807453,0.102325581,FALSE
Q96LB2,8JGG,B,336,31.5,1,1.043478261,0.097222222,FALSE
Q96LB2,8JGG,R,223,1119.5,1,0.692546584,1,FALSE
P04000,8IU2,R,299,1610,1,0.821428571,0.993311037,TRUE
P04000,8IU2,A,209,33.5,1,0.574175824,0.240506329,FALSE
P04000,8IU2,B,339,32,1,0.931318681,0.102564103,FALSE
P04000,8IU2,G,58,28.5,1,0.159340659,0.203703704,FALSE
P04000,8IU2,S,233,38.5,1,0.64010989,0.209677419,FALSE
Q9HB89,7W53,A,210,34.5,1,0.492957746,0.201298701,FALSE
Q9HB89,7W53,B,338,35.5,1,0.79342723,0.238866397,FALSE
Q9HB89,7W53,C,8,20,1,0.018779343,0.5,FALSE
Q9HB89,7W53,E,232,38,1,0.544600939,0.119402985,FALSE
Q9HB89,7W53,G,57,24,1,0.133802817,0.333333333,FALSE
Q9HB89,7W53,R,264,1310,1,0.61971831,1,FALSE
Q9HB89,7W56,A,230,32,1,0.539906103,0.197452229,FALSE
Q9HB89,7W56,B,341,35.5,1,0.800469484,0.238866397,FALSE
Q9HB89,7W56,C,9,20,1,0.021126761,0.444444444,FALSE
Q9HB89,7W56,E,232,38,1,0.544600939,0.119402985,FALSE
Q9HB89,7W56,G,57,24,1,0.133802817,0.333333333,FALSE
Q9HB89,7W56,R,276,1398.5,1,0.647887324,1,FALSE
Q9UNW8,8HQE,B,339,47,1,0.892105263,0.17704918,FALSE
Q9UNW8,8HQE,C,55,26,1,0.144736842,0.181818182,FALSE
Q9UNW8,8HQE,H,232,29.5,1,0.610526316,0.113636364,FALSE
Q9UNW8,8HQE,R,307,1579,1,0.807894737,1,TRUE
Q9UNW8,8HQE,A,214,51.5,1,0.563157895,0.145,FALSE
Q9UNW8,8HQM,B,296,47,1,0.778947368,0.202290076,FALSE
Q9UNW8,8HQM,C,55,26,1,0.144736842,0.181818182,FALSE
Q9UNW8,8HQM,H,232,29.5,1,0.610526316,0.113636364,FALSE
Q9UNW8,8HQM,R,308,1579,1,0.810526316,0.996753247,TRUE
Q9UNW8,8HQM,A,214,51.5,1,0.563157895,0.145,FALSE
Q9UNW8,8HQN,B,296,47,1,0.778947368,0.202290076,FALSE
Q9UNW8,8HQN,C,55,26,1,0.144736842,0.181818182,FALSE
Q9UNW8,8HQN,H,232,29.5,1,0.610526316,0.113636364,FALSE
Q9UNW8,8HQN,R,311,1607,1,0.818421053,0.996784566,TRUE
Q9UNW8,8HQN,A,214,51.5,1,0.563157895,0.145,FALSE
Q9UNW8,8HVI,R,309,1597,1,0.813157895,0.996763754,TRUE
Q9UNW8,8HVI,B,214,51.5,1,0.563157895,0.145,FALSE
Q9UNW8,8HVI,C,339,47,1,0.892105263,0.17704918,FALSE
Q9UNW8,8HVI,D,55,26,1,0.144736842,0.181818182,FALSE
Q9UNW8,8HVI,H,232,29.5,1,0.610526316,0.113636364,FALSE
P51685,8KFX,A,225,37.5,1,0.633802817,0.133663366,FALSE
P51685,8KFX,B,338,31.5,1,0.952112676,0.074688797,FALSE
P51685,8KFX,C,56,26,1,0.157746479,0.107142857,FALSE
P51685,8KFX,R,289,1491,1,0.814084507,0.996539792,TRUE
P51685,8KFX,S,232,31.5,1,0.653521127,0.088785047,FALSE
P51685,8KFY,A,225,37.5,1,0.633802817,0.133663366,FALSE
P51685,8KFY,B,338,31.5,1,0.952112676,0.074688797,FALSE
P51685,8KFY,C,56,26,1,0.157746479,0.107142857,FALSE
P51685,8KFY,R,289,1491,1,0.814084507,0.996539792,TRUE
P51685,8KFY,S,232,31.5,1,0.653521127,0.088785047,FALSE
P51685,8KFZ,R,288,1491,1,0.811267606,1,TRUE
P51685,8KFZ,A,225,37.5,1,0.633802817,0.133663366,FALSE
P51685,8KFZ,B,338,31.5,1,0.952112676,0.074688797,FALSE
P51685,8KFZ,C,56,26,1,0.157746479,0.107142857,FALSE
P51685,8KFZ,S,232,31.5,1,0.653521127,0.088785047,FALSE
P51685,8TLM,A,215,32.5,1,0.605633803,0.149038462,FALSE
P51685,8TLM,B,215,29,1,0.605633803,0.101910828,FALSE
P51685,8TLM,C,266,1339,1,0.749295775,1,TRUE
P51685,8U1U,A,367,1526,1,1.033802817,0.936507937,TRUE
P51685,8U1U,B,214,31,1,0.602816901,0.203296703,FALSE
P51685,8U1U,C,338,31.5,1,0.952112676,0.074688797,FALSE
P51685,8U1U,D,56,26,1,0.157746479,0.107142857,FALSE
P51685,8U1U,E,232,32,1,0.653521127,0.093023256,FALSE
Q99500,7C4S,L,214,27,1,0.566137566,0.085858586,FALSE
Q99500,7C4S,H,219,43.5,1,0.579365079,0.207865169,FALSE
Q99500,7C4S,A,283,1409,1,0.748677249,0.992932862,TRUE
Q99500,7C4S,K,214,27,1,0.566137566,0.085858586,FALSE
Q99500,7C4S,J,219,43.5,1,0.579365079,0.207865169,FALSE
Q99500,7C4S,B,281,1398,1,0.743386243,0.992882562,TRUE
Q99500,7EW2,A,226,37,1,0.597883598,0.131428571,FALSE
Q99500,7EW2,B,340,38,1,0.899470899,0.165467626,FALSE
Q99500,7EW2,C,61,23,1,0.161375661,0.114754098,FALSE
Q99500,7EW2,S,232,24,1,0.613756614,0.081521739,FALSE
Q99500,7EW2,R,291,1477,1,0.76984127,0.996563574,TRUE
Q99500,7EW3,A,226,37,1,0.597883598,0.131428571,FALSE
Q99500,7EW3,B,340,38,1,0.899470899,0.165467626,FALSE
Q99500,7EW3,C,61,23,1,0.161375661,0.114754098,FALSE
Q99500,7EW3,R,295,1477,1,0.78042328,0.983050847,TRUE
Q99500,7EW3,S,232,24,1,0.613756614,0.081521739,FALSE
Q99500,7EW4,A,228,37,1,0.603174603,0.131428571,FALSE
Q99500,7EW4,B,340,38,1,0.899470899,0.165467626,FALSE
Q99500,7EW4,C,58,23,1,0.153439153,0.238095238,FALSE
Q99500,7EW4,R,290,1460.5,1,0.767195767,0.989655172,TRUE
Q99500,7EW4,S,232,24,1,0.613756614,0.081521739,FALSE
P08912,6OL9,A,428,1400.5,1,0.804511278,0.768656716,TRUE
P08913,1HLL,A,32,167,1,0.068817204,1,FALSE
P08913,1HO9,A,32,158,1,0.068817204,0.96875,FALSE
P08913,1HOD,A,32,158,1,0.068817204,0.96875,FALSE
P08913,1HOF,A,32,167,1,0.068817204,1,FALSE
P08913,6K42,A,218,29.5,1,0.468817204,0.1,FALSE
P08913,6K42,B,340,31,1,0.731182796,0.117283951,FALSE
P08913,6K42,G,55,30,1,0.11827957,0.264150943,FALSE
P08913,6K42,R,271,983.5,1,0.582795699,0.722222222,FALSE
P08913,6K42,H,233,29.5,1,0.501075269,0.090128755,FALSE
P08913,6KUX,A,383,1346.5,1,0.823655914,0.777777778,TRUE
P08913,6KUY,A,372,1322,1,0.8,0.782729805,TRUE
P08913,7EJ0,A,217,29,1,0.466666667,0.089201878,FALSE
P08913,7EJ0,B,335,31,1,0.720430108,0.117283951,FALSE
P08913,7EJ0,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7EJ0,H,233,29.5,1,0.501075269,0.090128755,FALSE
P08913,7EJ0,R,261,1267,1,0.561290323,0.996168582,FALSE
P08913,7EJ8,A,215,29,1,0.462365591,0.052132701,FALSE
P08913,7EJ8,B,335,31,1,0.720430108,0.117283951,FALSE
P08913,7EJ8,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7EJ8,R,264,1283,1,0.567741935,0.996212121,FALSE
P08913,7EJ8,H,233,29.5,1,0.501075269,0.090128755,FALSE
P08913,7EJA,A,210,31,1,0.451612903,0.084210526,FALSE
P08913,7EJA,B,331,31,1,0.711827957,0.117283951,FALSE
P08913,7EJA,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7EJA,R,270,1322,1,0.580645161,0.996296296,FALSE
P08913,7EJA,H,233,29.5,1,0.501075269,0.090128755,FALSE
P08913,7EJK,A,215,29,1,0.462365591,0.052132701,FALSE
P08913,7EJK,B,334,31,1,0.71827957,0.117283951,FALSE
P08913,7EJK,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7EJK,H,233,29.5,1,0.501075269,0.090128755,FALSE
P08913,7EJK,R,258,1250.5,1,0.55483871,0.996124031,FALSE
P08913,7W6P,A,204,29,1,0.438709677,0.105,FALSE
P08913,7W6P,B,335,31,1,0.720430108,0.117283951,FALSE
P08913,7W6P,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7W6P,H,232,29.5,1,0.498924731,0.112068966,FALSE
P08913,7W6P,R,259,1257,1,0.556989247,0.996138996,FALSE
P08913,7W7E,A,209,29,1,0.449462366,0.092682927,FALSE
P08913,7W7E,B,335,31,1,0.720430108,0.117283951,FALSE
P08913,7W7E,G,54,30,1,0.116129032,0.269230769,FALSE
P08913,7W7E,H,232,29.5,1,0.498924731,0.112068966,FALSE
P08913,7W7E,R,261,1266.5,1,0.561290323,0.996168582,FALSE
Q9BXC1,7XV3,R,292,1540,1,0.876876877,0.989726027,TRUE
Q9BXC1,7XV3,G,56,21,1,0.168168168,0.109090909,FALSE
Q9BXC1,7XV3,A,234,31.5,1,0.702702703,0.118012422,FALSE
Q9BXC1,7XV3,N,127,29,1,0.381381381,0.14,FALSE
Q9BXC1,7XV3,B,338,31.5,1,1.015015015,0.121621622,FALSE
Q9BXC1,8IZB,A,235,33.5,1,0.705705706,0.202702703,FALSE
Q9BXC1,8IZB,B,342,31.5,1,1.027027027,0.120805369,FALSE
Q9BXC1,8IZB,C,57,21,1,0.171171171,0.105263158,FALSE
Q9BXC1,8IZB,N,128,29,1,0.384384384,0.14,FALSE
Q9BXC1,8IZB,R,287,1493,1,0.861861862,0.986062718,TRUE
Q9BXC1,8KH5,A,284,1483,1,0.852852853,0.98943662,TRUE
Q9BXC1,8KH5,B,228,32.5,1,0.684684685,0.176056338,FALSE
Q9BXC1,8KH5,C,338,31.5,1,1.015015015,0.121621622,FALSE
Q9BXC1,8KH5,E,128,29,1,0.384384384,0.14,FALSE
Q9BXC1,8KH5,D,55,21,1,0.165165165,0.109090909,FALSE
P20309,2CSA,A,19,98,1,0.03220339,1,FALSE
P20309,8E9W,A,281,1342.5,1,0.476271186,0.989323843,FALSE
P20309,8E9W,B,213,55.5,1,0.361016949,0.191082803,FALSE
P20309,8E9W,C,339,41.5,1,0.574576271,0.08984375,FALSE
P20309,8E9W,D,58,31.5,1,0.098305085,0.206896552,FALSE
P20309,8E9W,E,233,46.5,1,0.394915254,0.194444444,FALSE
P20309,8E9Y,A,280,1337.5,1,0.474576271,0.989285714,FALSE
P20309,8E9Y,B,218,44,1,0.369491525,0.202614379,FALSE
P20309,8E9Y,C,338,41.5,1,0.572881356,0.08984375,FALSE
P20309,8E9Y,D,55,30.5,1,0.093220339,0.272727273,FALSE
P20309,8E9Y,E,233,46.5,1,0.394915254,0.194444444,FALSE
P20309,8E9Z,A,280,1341.5,1,0.474576271,0.992857143,FALSE
P20309,8E9Z,B,222,55.5,1,0.376271186,0.184713376,FALSE
P20309,8E9Z,C,339,41.5,1,0.574576271,0.08984375,FALSE
P20309,8E9Z,D,57,31.5,1,0.096610169,0.210526316,FALSE
P20309,8E9Z,E,233,46.5,1,0.394915254,0.194444444,FALSE
P20309,8EA0,A,287,1386.5,1,0.486440678,0.993031359,FALSE
P61073,2K03,A,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K03,B,38,198,1,0.107954545,0.973684211,FALSE
P61073,2K03,C,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K03,D,38,198,1,0.107954545,0.973684211,FALSE
P61073,2K04,A,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K04,B,38,198,1,0.107954545,0.973684211,FALSE
P61073,2K04,C,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K04,D,38,198,1,0.107954545,0.973684211,FALSE
P61073,2K05,A,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K05,B,38,198,1,0.107954545,0.973684211,FALSE
P61073,2K05,C,68,30.5,1,0.193181818,0.194029851,FALSE
P61073,2K05,D,38,198,1,0.107954545,0.973684211,FALSE
P61073,2N55,A,70,22.5,1,0.198863636,0.147058824,FALSE
P61073,2N55,B,40,198,1,0.113636364,0.973684211,FALSE
P61073,3ODU,A,544,1442.5,1,1.545454545,0.913312693,TRUE
P61073,3ODU,B,533,1430.5,1,1.514204545,0.895384615,TRUE
P61073,3OE0,A,436,1325,1,1.238636364,0.974820144,TRUE
P61073,3OE0,I,19,17,1,0.053977273,0.157894737,FALSE
P61073,3OE6,A,423,1326.5,1,1.201704545,0.964664311,TRUE
P61073,3OE8,A,434,1314.5,1,1.232954545,0.989051095,TRUE
P61073,3OE8,B,427,1268.5,1,1.213068182,0.98880597,TRUE
P61073,3OE8,C,429,1271.5,1,1.21875,0.988847584,TRUE
P61073,3OE9,A,421,1271.5,1,1.196022727,0.981549815,TRUE
P61073,3OE9,B,416,1252,1,1.181818182,0.981203008,TRUE
P61073,4RWS,A,438,1325.5,1,1.244318182,0.981949458,TRUE
P61073,4RWS,C,70,37.5,1,0.198863636,0.285714286,FALSE
P61073,8GP3,A,363,30,1,1.03125,0.098214286,FALSE
P61073,8GP3,V,9,44,1,0.025568182,1,FALSE
P61073,8GP3,B,363,30,1,1.03125,0.098214286,FALSE
P61073,8GP3,U,9,44,1,0.025568182,1,FALSE
P61073,8GP3,H,204,31.5,1,0.579545455,0.104395604,FALSE
P61073,8GP3,I,204,31.5,1,0.579545455,0.104395604,FALSE
P61073,8GP3,L,185,30,1,0.525568182,0.228187919,FALSE
P61073,8GP3,M,185,30,1,0.525568182,0.228187919,FALSE
