ChEMBL ID,Name,UniProt Accessions,GO Terms,Type,Organism,Class,Target Class,Receptor Family
CHEMBL4761,C3a anaphylatoxin chemotactic receptor,Q16581,GO:0002430; GO:0004876; GO:0004878; GO:0004930; GO:0005886; GO:0006935; GO:0006954; GO:0007186; GO:0007200; GO:0007204; GO:0008015; GO:0010575; GO:0010759; GO:0019722; GO:0035577; GO:0035579; GO:0045766; GO:0090023,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Complement peptide receptors
CHEMBL3714130,G-protein coupled receptor 6,P46095,GO:0004930; GO:0005737; GO:0005886; GO:0007186; GO:0007189; GO:0007204; GO:0019222; GO:0038036,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2514,Neurotensin receptor 2,O95665,GO:0004930; GO:0005886; GO:0007166; GO:0007200; GO:0007218; GO:0007600; GO:0016492; GO:0042391,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neurotensin receptors
CHEMBL3176,Galanin receptor 2,O43603,GO:0004966; GO:0005886; GO:0005929; GO:0006936; GO:0007166; GO:0007188; GO:0007189; GO:0007200; GO:0007204; GO:0007218; GO:0007611; GO:0007631; GO:0016020; GO:0017046; GO:0031175; GO:0042923; GO:0043647; GO:0045944; GO:0046488; GO:0090663; GO:1902608,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Galanin receptors
CHEMBL5872,G-protein coupled estrogen receptor 1,Q99527,GO:0000139; GO:0001934; GO:0001956; GO:0002695; GO:0003682; GO:0004930; GO:0005496; GO:0005634; GO:0005635; GO:0005654; GO:0005730; GO:0005737; GO:0005769; GO:0005783; GO:0005789; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006954; GO:0007186; GO:0007189; GO:0007204; GO:0007399; GO:0008284; GO:0008285; GO:0010628; GO:0010629; GO:0010948; GO:0014069; GO:0019228; GO:0030154; GO:0030263; GO:0030264; GO:0030284; GO:0030335; GO:0030424; GO:0030425; GO:0030518; GO:0030659; GO:0031966; GO:0032024; GO:0032591; GO:0032962; GO:0038054; GO:0042311; GO:0042734; GO:0043065; GO:0043198; GO:0043231; GO:0043280; GO:0043401; GO:0043410; GO:0043679; GO:0044327; GO:0045087; GO:0045095; GO:0045599; GO:0045742; GO:0045745; GO:0045944; GO:0048471; GO:0048786; GO:0050728; GO:0050769; GO:0051055; GO:0051281; GO:0051480; GO:0051726; GO:0051897; GO:0051898; GO:0055037; GO:0070373; GO:0070374; GO:0070474; GO:0071333; GO:0071356; GO:0071375; GO:0071389; GO:0071392; GO:0090200; GO:0098686; GO:1903078; GO:1904706; GO:1990239; GO:2000353; GO:2000724; GO:2001238,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Estrogen (G protein-coupled) receptors
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,GO:0005000; GO:0005737; GO:0005886; GO:0007218; GO:0008188; GO:0042755; GO:0051281; GO:0060013; GO:0070374; GO:1903999; GO:2000293,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuropeptide S receptors
CHEMBL4959,Gastrin releasing peptide receptor,P30550,GO:0005886; GO:0007186; GO:0007200; GO:0007611; GO:0008188; GO:0008528; GO:0035176; GO:0036343; GO:0042127; GO:0042923; GO:0043207; GO:0061744; GO:1903942; GO:2000987,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Bombesin receptors
CHEMBL5892,Endothelin B receptor-like protein 2,O60883,GO:0003085; GO:0004930; GO:0005886; GO:0007193; GO:0007224; GO:0008528; GO:0016020; GO:0021940; GO:0034614; GO:0036505; GO:0042277; GO:0043235; GO:0043410; GO:0045665; GO:0045879; GO:0048712; GO:0060020; GO:0060170,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523866,G-protein coupled receptor 15,P49685,GO:0001525; GO:0001618; GO:0004930; GO:0005737; GO:0005768; GO:0005886; GO:0007186; GO:0015026; GO:0046718; GO:0072678,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523927,Trace amine-associated receptor 2,Q9P1P5,GO:0001594; GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL5548,Prokineticin receptor 2,Q8NFJ6,GO:0004983; GO:0005886; GO:0007186; GO:0007623,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prokineticin receptors
CHEMBL5649,Prokineticin receptor 1,Q8TCW9,GO:0004983; GO:0005886; GO:0007186; GO:0007623,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prokineticin receptors
CHEMBL4523914,G-protein coupled receptor 22,Q99680,GO:0004930; GO:0005886; GO:0007186; GO:0030030; GO:0032870; GO:0042277,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523907,Probable G-protein coupled receptor 82,Q96P67,GO:0004930; GO:0005886,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523899,Mas-related G-protein coupled receptor member D,Q8TDS7,GO:0004930; GO:0005615; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4423,C-C chemokine receptor type 6,P51684,GO:0002407; GO:0002523; GO:0004950; GO:0005886; GO:0006935; GO:0006955; GO:0006959; GO:0006968; GO:0007165; GO:0007204; GO:0009897; GO:0009986; GO:0016493; GO:0019722; GO:0019957; GO:0036126; GO:0038023; GO:0048290; GO:0060326; GO:0060474; GO:0072676; GO:0072678; GO:0072679; GO:0097225; GO:0097228; GO:0097524; GO:1904155; GO:1904156; GO:2000404; GO:2000510,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL5850,Mas-related G-protein coupled receptor member X1,Q96LB2,GO:0004888; GO:0004930; GO:0005886; GO:0006953; GO:0007165; GO:0007166; GO:0007186; GO:0009986; GO:1902349,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL1949482,Long-wave-sensitive opsin 1,P04000,GO:0001750; GO:0005886; GO:0007165; GO:0007186; GO:0007601; GO:0007602; GO:0008020; GO:0009881; GO:0032467; GO:0071482; GO:0097381,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Opsins
CHEMBL3191,Leukotriene B4 receptor 2,Q9NPC1,GO:0001632; GO:0004974; GO:0005654; GO:0005886; GO:0006935; GO:0007194; GO:0007218; GO:0008528; GO:0016020; GO:0051546,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Leukotriene receptors
CHEMBL1075178,Neuromedin-U receptor 1,Q9HB89,GO:0001607; GO:0004930; GO:0005886; GO:0006821; GO:0006939; GO:0007186; GO:0007200; GO:0007218; GO:0008188; GO:0016020; GO:0019722; GO:0042924; GO:0050850,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuromedin U receptors
CHEMBL4339,Chemokine XC receptor 1,P46094,GO:0004950; GO:0005886; GO:0006935; GO:0006954; GO:0006955; GO:0007186; GO:0007187; GO:0007204; GO:0009897; GO:0016493; GO:0019722; GO:0019957; GO:0051209; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL4523915,G-protein coupled receptor 87,Q9BY21,GO:0005886; GO:0007186; GO:0045028,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3085618,Probable G-protein coupled receptor 132,Q9UNW8,GO:0000082; GO:0004930; GO:0005886; GO:0010972,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL1628472,Relaxin-3 receptor 1,Q9NSD7,GO:0004930; GO:0005886; GO:0007186; GO:0007218; GO:0008528; GO:0032467,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Relaxin family peptide receptors
CHEMBL4596,C-C chemokine receptor type 8,P51685,GO:0004950; GO:0005886; GO:0006935; GO:0006955; GO:0007155; GO:0007186; GO:0007204; GO:0009897; GO:0015026; GO:0016493; GO:0019722; GO:0019957; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL3721312,Olfactory receptor 5K1,Q8NHB7,GO:0004930; GO:0004984; GO:0005549; GO:0005886,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Other
CHEMBL3892,Sphingosine 1-phosphate receptor Edg-3,Q99500,GO:0004930; GO:0005178; GO:0005737; GO:0005886; GO:0006954; GO:0007186; GO:0007189; GO:0007193; GO:0007204; GO:0007219; GO:0008284; GO:0008289; GO:0009653; GO:0019222; GO:0032651; GO:0038036; GO:1903141,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (S1P) receptors
CHEMBL4523229,G-protein coupled receptor 1,P46091,GO:0004930; GO:0005654; GO:0005886; GO:0007186; GO:0007218; GO:0042593; GO:0042923; GO:0043005; GO:0043231; GO:0097003; GO:0097004,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemerin receptor
CHEMBL2035,Muscarinic acetylcholine receptor M5,P08912,GO:0001696; GO:0004435; GO:0004993; GO:0005886; GO:0007187; GO:0007197; GO:0007213; GO:0007268; GO:0015872; GO:0016907; GO:0019226; GO:0030425; GO:0045202; GO:0045211; GO:0060304,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic)
CHEMBL1867,Alpha-2a adrenergic receptor,P08913,GO:0001819; GO:0004938; GO:0005085; GO:0005737; GO:0005886; GO:0006260; GO:0007186; GO:0007189; GO:0007193; GO:0007265; GO:0007266; GO:0007565; GO:0008284; GO:0010700; GO:0016323; GO:0019229; GO:0019901; GO:0030036; GO:0030168; GO:0030335; GO:0031692; GO:0031696; GO:0031996; GO:0032147; GO:0032148; GO:0032795; GO:0032811; GO:0032870; GO:0035624; GO:0042311; GO:0042593; GO:0042596; GO:0042803; GO:0043025; GO:0043235; GO:0043268; GO:0043406; GO:0043410; GO:0043679; GO:0045742; GO:0045955; GO:0046676; GO:0046982; GO:0048787; GO:0050892; GO:0050955; GO:0050995; GO:0051044; GO:0051379; GO:0051380; GO:0051926; GO:0061179; GO:0070473; GO:0071875; GO:0071880; GO:0071881; GO:0071882; GO:0090303; GO:0098691; GO:0098839; GO:0098978; GO:0098982; GO:0099171; GO:1901020,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adrenoceptors
CHEMBL5477,Proteinase-activated receptor 3,O00254,GO:0004435; GO:0004930; GO:0005576; GO:0005886; GO:0007200; GO:0007596; GO:0009611; GO:0015057; GO:0016324; GO:0030168; GO:0032024; GO:0032991; GO:0035025; GO:0048018; GO:1990806,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Proteinase-activated receptors
CHEMBL1628461,Oxoeicosanoid receptor 1,Q8TDS5,GO:0004930; GO:0005886; GO:0007186; GO:0007193; GO:0050646; GO:0050647; GO:0050648,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Leukotriene receptors
CHEMBL4523922,Probable G-protein coupled receptor 173,Q9NS66,GO:0004930; GO:0004968; GO:0005886; GO:0007165; GO:2001223,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3562167,Probable G-protein coupled receptor 174,Q9BXC1,GO:0004930; GO:0005886; GO:0007200; GO:0032703; GO:0034451; GO:0035025; GO:0043029; GO:0043231; GO:0045125,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL245,Muscarinic acetylcholine receptor M3,P20309,GO:0004435; GO:0004993; GO:0005789; GO:0005886; GO:0006939; GO:0006940; GO:0007165; GO:0007186; GO:0007187; GO:0007197; GO:0007207; GO:0007213; GO:0007268; GO:0007399; GO:0009925; GO:0016323; GO:0016907; GO:0019722; GO:0030425; GO:0032024; GO:0032412; GO:0036211; GO:0038023; GO:0042166; GO:0045202; GO:0045211; GO:0045987; GO:0046541; GO:0095500; GO:0099105; GO:1990806,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic)
CHEMBL2107,C-X-C chemokine receptor type 4,P61073,GO:0001618; GO:0001666; GO:0001764; GO:0002064; GO:0002407; GO:0003779; GO:0004930; GO:0005737; GO:0005764; GO:0005769; GO:0005770; GO:0005886; GO:0006915; GO:0006954; GO:0006955; GO:0007186; GO:0007204; GO:0007420; GO:0008038; GO:0009615; GO:0009897; GO:0009986; GO:0014823; GO:0015026; GO:0016493; GO:0016494; GO:0019722; GO:0019957; GO:0022008; GO:0022029; GO:0030155; GO:0030335; GO:0031252; GO:0031410; GO:0031625; GO:0032027; GO:0032991; GO:0035470; GO:0036094; GO:0038147; GO:0038160; GO:0043067; GO:0043130; GO:0043217; GO:0045446; GO:0048714; GO:0050792; GO:0050920; GO:0050921; GO:0050965; GO:0050966; GO:0051924; GO:0060048; GO:0060326; GO:0061154; GO:0070062; GO:0070161; GO:0071345; GO:0071417; GO:0071466; GO:0120162; GO:1901327; GO:1903861; GO:1904018; GO:1905322; GO:1990478; GO:2000448,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL3819,Lysophosphatidic acid receptor Edg-2,Q92633,GO:0001965; GO:0004930; GO:0005737; GO:0005768; GO:0005886; GO:0007186; GO:0007189; GO:0007193; GO:0007204; GO:0008360; GO:0009986; GO:0010977; GO:0014003; GO:0019222; GO:0021549; GO:0021554; GO:0022008; GO:0022038; GO:0030165; GO:0032060; GO:0035025; GO:0035727; GO:0042552; GO:0042734; GO:0043025; GO:0043065; GO:0043123; GO:0043197; GO:0043198; GO:0043410; GO:0043951; GO:0045211; GO:0051496; GO:0060326; GO:0060999; GO:0070915; GO:0071453; GO:0071673; GO:0098693; GO:0098978; GO:0098982; GO:0099004; GO:0099149; GO:1902018; GO:1904566,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (LPA) receptors
CHEMBL4616,Ghrelin receptor,Q92847,GO:0001616; GO:0004930; GO:0005886; GO:0007186; GO:0007283; GO:0007611; GO:0008154; GO:0008343; GO:0009725; GO:0009755; GO:0009986; GO:0010700; GO:0016520; GO:0017046; GO:0030252; GO:0032094; GO:0032099; GO:0032100; GO:0032354; GO:0032355; GO:0032691; GO:0032715; GO:0032720; GO:0032869; GO:0036321; GO:0040018; GO:0042802; GO:0043005; GO:0043134; GO:0043568; GO:0045121; GO:0045923; GO:0046676; GO:0046697; GO:0048009; GO:0050728; GO:0051963; GO:0051969; GO:0060123; GO:0060416; GO:0071222; GO:0071548; GO:0090327; GO:0097060; GO:0097067; GO:0098685; GO:0098696; GO:0098794; GO:0098978; GO:0099170; GO:0099175; GO:0120058; GO:1902065; GO:1903672; GO:1904000; GO:1904349; GO:1905333; GO:1905564; GO:1990314; GO:2000110,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Ghrelin receptors
CHEMBL226,Adenosine A1 receptor,P30542,GO:0001609; GO:0001659; GO:0001664; GO:0001666; GO:0001883; GO:0002087; GO:0002674; GO:0002686; GO:0002793; GO:0003084; GO:0003085; GO:0003093; GO:0005886; GO:0006612; GO:0006909; GO:0006954; GO:0007165; GO:0007186; GO:0007193; GO:0007267; GO:0007399; GO:0008285; GO:0014050; GO:0014074; GO:0016042; GO:0016323; GO:0030425; GO:0030673; GO:0031072; GO:0031683; GO:0032229; GO:0032244; GO:0032279; GO:0032795; GO:0032900; GO:0035307; GO:0042311; GO:0042323; GO:0042734; GO:0043025; GO:0043066; GO:0043195; GO:0043197; GO:0043268; GO:0043410; GO:0044305; GO:0045202; GO:0045211; GO:0046888; GO:0046982; GO:0048786; GO:0050890; GO:0050900; GO:0050965; GO:0050995; GO:0050996; GO:0051930; GO:0051967; GO:0055089; GO:0060079; GO:0060292; GO:0070254; GO:0070256; GO:0070328; GO:0086004; GO:0097190; GO:0099509; GO:1900272; GO:1900453,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adenosine receptors
CHEMBL216,Muscarinic acetylcholine receptor M1,P11229,GO:0004435; GO:0004993; GO:0005886; GO:0007165; GO:0007186; GO:0007187; GO:0007197; GO:0007205; GO:0007207; GO:0007213; GO:0007268; GO:0007274; GO:0007399; GO:0016020; GO:0016907; GO:0030425; GO:0040012; GO:0042734; GO:0043270; GO:0043679; GO:0045202; GO:0046541; GO:0050890; GO:0060078; GO:0060251; GO:0090316; GO:0098685; GO:0098839; GO:0098978; GO:0098981; GO:0099170,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic)
CHEMBL1628482,Relaxin receptor 2,Q8WXD0,GO:0001556; GO:0005886; GO:0007189; GO:0007193; GO:0008285; GO:0008528; GO:0008584; GO:0009755; GO:0016500; GO:0017046; GO:0043066; GO:0043950,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Relaxin family peptide receptors
CHEMBL217,Dopamine D2 receptor,P14416,GO:0000139; GO:0001591; GO:0001659; GO:0001666; GO:0001669; GO:0001933; GO:0001965; GO:0001975; GO:0001976; GO:0002027; GO:0002028; GO:0002031; GO:0002052; GO:0002092; GO:0004930; GO:0005886; GO:0005929; GO:0006874; GO:0006914; GO:0007194; GO:0007195; GO:0007200; GO:0007270; GO:0007405; GO:0007409; GO:0007416; GO:0007608; GO:0007616; GO:0007625; GO:0007626; GO:0007628; GO:0008104; GO:0008285; GO:0008306; GO:0008542; GO:0009410; GO:0009416; GO:0009636; GO:0010039; GO:0014059; GO:0014854; GO:0015459; GO:0016055; GO:0016328; GO:0021756; GO:0021769; GO:0021853; GO:0021984; GO:0030139; GO:0030336; GO:0030424; GO:0030425; GO:0030432; GO:0030672; GO:0031223; GO:0032228; GO:0032467; GO:0032795; GO:0032922; GO:0033602; GO:0034776; GO:0035094; GO:0035240; GO:0035255; GO:0035556; GO:0035810; GO:0035815; GO:0036126; GO:0040018; GO:0042220; GO:0042321; GO:0042417; GO:0042734; GO:0042756; GO:0042802; GO:0043197; GO:0043204; GO:0043266; GO:0043278; GO:0043410; GO:0043473; GO:0043491; GO:0043679; GO:0045202; GO:0045211; GO:0045745; GO:0045776; GO:0045824; GO:0045944; GO:0046676; GO:0046717; GO:0048148; GO:0048149; GO:0048169; GO:0048678; GO:0048755; GO:0050482; GO:0050673; GO:0050680; GO:0050709; GO:0051209; GO:0051481; GO:0051583; GO:0051584; GO:0051586; GO:0051823; GO:0051898; GO:0051967; GO:0060079; GO:0060124; GO:0060134; GO:0060158; GO:0060160; GO:0060170; GO:0070374; GO:0071880; GO:0090325; GO:0097648; GO:0097730; GO:0098691; GO:0098978; GO:0098982; GO:0099170; GO:0099171; GO:1900038; GO:1900168; GO:1900273; GO:1901363; GO:1901386; GO:1990384; GO:2001223,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Dopamine receptors
CHEMBL5652,Glucose-dependent insulinotropic receptor,Q8TDV5,GO:0004930; GO:0005737; GO:0005886; GO:0007189; GO:0019222; GO:0030073; GO:0031210; GO:0043235,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),"GPR18, GPR55 and GPR119"
CHEMBL4333,Sphingosine 1-phosphate receptor Edg-1,P21453,GO:0001525; GO:0001664; GO:0001955; GO:0003245; GO:0003376; GO:0004930; GO:0005654; GO:0005737; GO:0005768; GO:0005886; GO:0006935; GO:0007155; GO:0007186; GO:0007189; GO:0007193; GO:0007200; GO:0007420; GO:0008283; GO:0009897; GO:0016477; GO:0019222; GO:0019226; GO:0030032; GO:0030036; GO:0030155; GO:0030182; GO:0030335; GO:0030500; GO:0030595; GO:0038036; GO:0043231; GO:0045121; GO:0045124; GO:0045446; GO:0045944; GO:0046625; GO:0048661; GO:0050927; GO:0051497; GO:0061384; GO:0072678,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (S1P) receptors
CHEMBL1987,Prostanoid FP receptor,P43088,GO:0004958; GO:0005576; GO:0005737; GO:0005886; GO:0006954; GO:0007186; GO:0007189; GO:0007204; GO:0007567; GO:0008284; GO:0010628; GO:0032355; GO:0032496; GO:0043066; GO:0071799,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prostanoid receptors
CHEMBL4308,Bradykinin B1 receptor,P46663,GO:0001933; GO:0002687; GO:0004947; GO:0005783; GO:0005886; GO:0006954; GO:0007186; GO:0007204; GO:0007205; GO:0009612; GO:0016477; GO:0030308; GO:0032496; GO:0042277; GO:0045776; GO:0051281,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Bradykinin receptors
CHEMBL1898,Serotonin 1b (5-HT1b) receptor,P28222,GO:0002031; GO:0004993; GO:0005783; GO:0005886; GO:0007187; GO:0007193; GO:0007198; GO:0007205; GO:0007268; GO:0014053; GO:0014059; GO:0014063; GO:0030425; GO:0030594; GO:0032229; GO:0042220; GO:0042310; GO:0042734; GO:0042756; GO:0044305; GO:0045471; GO:0046849; GO:0050795; GO:0051378; GO:0051385; GO:0051967; GO:0071312; GO:0071466; GO:0071502; GO:0098666; GO:0099154; GO:0099171; GO:0099626; GO:1904707; GO:2000300,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors
CHEMBL5493,Free fatty acid receptor 2,O15552,GO:0002232; GO:0002385; GO:0002673; GO:0002720; GO:0002752; GO:0002879; GO:0004930; GO:0005886; GO:0007186; GO:0007200; GO:0008289; GO:0019915; GO:0032024; GO:0032722; GO:0032757; GO:0042593; GO:0042995; GO:0045444; GO:0046676; GO:0071398; GO:0090276; GO:1990806,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Free fatty acid receptors
CHEMBL250,Platelet activating factor receptor,P25105,GO:0001530; GO:0001875; GO:0002693; GO:0004930; GO:0004992; GO:0005543; GO:0005886; GO:0006357; GO:0006935; GO:0006954; GO:0006955; GO:0007186; GO:0007200; GO:0007567; GO:0009609; GO:0016020; GO:0030667; GO:0032755; GO:0032760; GO:0032959; GO:0043315; GO:0045028; GO:0045056; GO:0045727; GO:0045776; GO:0048661; GO:0051019; GO:0060732; GO:0070821; GO:0071258; GO:0071320; GO:0071398; GO:0071548; GO:1903238; GO:1904300; GO:1904303; GO:1904306; GO:1904317,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Platelet-activating factor receptors
CHEMBL4877,Neuropeptide Y receptor type 4,P50391,GO:0001602; GO:0004930; GO:0005886; GO:0007186; GO:0016020; GO:0017046; GO:0042923; GO:0043005,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuropeptide Y receptors
CHEMBL1798,Cysteinyl leukotriene receptor 1,Q9Y271,GO:0001631; GO:0002437; GO:0004974; GO:0005886; GO:0006816; GO:0006935; GO:0006952; GO:0007166; GO:0007204; GO:0007218; GO:0007585; GO:0008528; GO:0016020; GO:0045766; GO:0045907; GO:0051649; GO:0060252; GO:0071456,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Leukotriene receptors
CHEMBL251,Adenosine A2a receptor,P29274,GO:0001609; GO:0001963; GO:0001973; GO:0001975; GO:0005516; GO:0005882; GO:0005886; GO:0006355; GO:0006909; GO:0006915; GO:0006954; GO:0006968; GO:0007188; GO:0007189; GO:0007205; GO:0007267; GO:0007271; GO:0007417; GO:0007596; GO:0007600; GO:0007626; GO:0008015; GO:0008285; GO:0008289; GO:0009410; GO:0014049; GO:0014057; GO:0014061; GO:0014074; GO:0016020; GO:0019899; GO:0030425; GO:0030673; GO:0031000; GO:0031802; GO:0032230; GO:0032279; GO:0035249; GO:0035810; GO:0042311; GO:0042734; GO:0042755; GO:0042802; GO:0043025; GO:0043116; GO:0043524; GO:0044877; GO:0045211; GO:0045938; GO:0046636; GO:0048143; GO:0048786; GO:0048812; GO:0050714; GO:0050728; GO:0051393; GO:0051881; GO:0051899; GO:0051924; GO:0051968; GO:0060079; GO:0060080; GO:0060134; GO:0097190; GO:0098978; GO:0099171; GO:1900273; GO:2001235,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adenosine receptors
CHEMBL264,Histamine H3 receptor,Q9Y5N1,GO:0004969; GO:0004993; GO:0005886; GO:0007187; GO:0007197; GO:0007268; GO:0007269; GO:0016907; GO:0030425; GO:0045202; GO:0098793,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Histamine receptors
CHEMBL3759,Histamine H4 receptor,Q9H3N8,GO:0004969; GO:0004993; GO:0005886; GO:0006954; GO:0007187; GO:0007197; GO:0007204; GO:0007268; GO:0016907; GO:0030425; GO:0043408; GO:0045202,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Histamine receptors
CHEMBL2123,Pyrimidinergic receptor P2Y4,P51582,GO:0005524; GO:0005886; GO:0007186; GO:0007200; GO:0007204; GO:0016323; GO:0016324; GO:0030321; GO:0045028; GO:0045030; GO:0048787; GO:0071318; GO:0071380; GO:0098978; GO:0099509; GO:2000300,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),P2Y receptors
CHEMBL1810,Thyrotropin-releasing hormone receptor,P34981,GO:0004997; GO:0005886; GO:0007186; GO:0007200,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Thyrotropin-releasing hormone receptors
CHEMBL298,Cholecystokinin B receptor,P32239,GO:0001696; GO:0004951; GO:0005886; GO:0007166; GO:0007200; GO:0007204; GO:0008284; GO:0015054; GO:0017046; GO:0031741; GO:0038188; GO:0043231; GO:0045851; GO:0046935; GO:0048565; GO:0048732,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Cholecystokinin receptors
CHEMBL1821,Muscarinic acetylcholine receptor M4,P08173,GO:0004993; GO:0005886; GO:0007165; GO:0007166; GO:0007187; GO:0007197; GO:0007213; GO:0007268; GO:0016907; GO:0030425; GO:0040012; GO:0045202; GO:0045211,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic)
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,GO:0004996; GO:0005886; GO:0007166; GO:0007186; GO:0007187; GO:0007189; GO:0007267; GO:0008284; GO:0008528; GO:0009755; GO:0009986; GO:0016323; GO:0038023; GO:0038194; GO:0043235; GO:0044877; GO:0120162; GO:1904588; GO:1905229,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Glycoprotein hormone receptors
CHEMBL5815,C-C chemokine receptor type 9,P51686,GO:0002305; GO:0004950; GO:0005886; GO:0006935; GO:0006955; GO:0006968; GO:0007186; GO:0007204; GO:0009897; GO:0009986; GO:0016493; GO:0019722; GO:0019957; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL1889,Vasopressin V1a receptor,P37288,GO:0001992; GO:0002125; GO:0003084; GO:0005000; GO:0005080; GO:0005768; GO:0005886; GO:0006091; GO:0007186; GO:0007204; GO:0007621; GO:0007625; GO:0008015; GO:0008284; GO:0010460; GO:0014049; GO:0014902; GO:0017046; GO:0019722; GO:0021537; GO:0030139; GO:0030307; GO:0031394; GO:0031894; GO:0032849; GO:0032870; GO:0035176; GO:0042277; GO:0042631; GO:0042711; GO:0042713; GO:0045907; GO:0051412; GO:0051970; GO:0150104,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Vasopressin and oxytocin receptors
